Client_IP,Server_IP,Timestamp,TCP_Sequence_Number,TCP_Retranmission_Count,TCP_Flag_Info,RLC_Timestamp(first_mapped),RLC_Sequence_Number_and_Retransmission_Count,HTTP_Type,Note
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.215,90514282,0,ACK/SYN,2013 Sep 11  17:38:560.991,13:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.265,90514282,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.455,90514282,0,ACK,2013 Sep 11  17:38:560.624,0:2/1:2,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.465,90514408,0,ACK,2013 Sep 11  17:38:560.624,0:2/1:2,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.478,90514534,0,ACK,2013 Sep 11  17:40:050.465,9:0/10:1/11:0/12:0/13:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.479,90514660,0,ACK,2013 Sep 11  17:38:560.624,0:2/1:2,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.486,90514786,0,ACK,2013 Sep 11  17:38:560.624,0:2/1:2,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.489,90514912,0,ACK/PSH,2013 Sep 11  17:38:560.624,0:2/1:2,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.495,90515038,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.495,90515143,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.506,90515157,0,ACK,2013 Sep 11  17:38:560.624,0:2/1:2,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.506,90515283,0,ACK,2013 Sep 11  17:38:560.624,0:2/1:2,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.515,90515409,0,ACK,2013 Sep 11  17:40:050.505,23:0/24:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.515,90515535,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.518,90515595,0,ACK,2013 Sep 11  17:40:050.505,23:0/24:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.518,90515721,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.526,90515741,0,ACK,2013 Sep 11  17:40:050.505,23:0/24:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.526,90515867,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.528,90515885,0,ACK,2013 Sep 11  17:40:050.505,23:0/24:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.529,90516011,0,ACK,2013 Sep 11  17:40:050.505,23:0/24:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.535,90516137,0,ACK,2013 Sep 11  17:40:050.505,23:0/24:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.536,90516263,0,ACK,2013 Sep 11  17:40:050.505,23:0/24:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.538,90516389,0,ACK,2013 Sep 11  17:40:050.536,45:0/46:0/47:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.539,90516515,0,ACK,2013 Sep 11  17:40:050.505,23:0/24:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.540,90516641,0,ACK,2013 Sep 11  17:40:050.539,48:0/49:0/50:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.546,90516767,0,ACK,2013 Sep 11  17:40:050.539,48:0/49:0/50:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.548,90516893,0,ACK,2013 Sep 11  17:40:050.546,54:0/55:0/56:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.549,90517019,0,ACK,2013 Sep 11  17:40:050.539,48:0/49:0/50:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.550,90517145,0,ACK,2013 Sep 11  17:40:050.549,58:0/59:0/60:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.559,90517271,0,ACK,2013 Sep 11  17:40:050.539,48:0/49:0/50:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.560,90517397,0,ACK,2013 Sep 11  17:40:050.559,63:0/64:0/65:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.560,90517523,0,ACK,2013 Sep 11  17:40:050.559,65:0/66:0/67:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.560,90517649,0,ACK,2013 Sep 11  17:40:050.539,48:0/49:0/50:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.560,90517775,0,ACK,2013 Sep 11  17:40:050.539,48:0/49:0/50:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.566,90517901,0,ACK,2013 Sep 11  17:40:050.539,48:0/49:0/50:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.566,90518027,0,ACK,2013 Sep 11  17:40:050.539,48:0/49:0/50:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.735,90518153,0,ACK,2013 Sep 11  17:40:050.695,87:0/88:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.739,90518279,0,ACK,2013 Sep 11  17:40:050.695,87:0/88:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.740,90518405,0,ACK,2013 Sep 11  17:40:050.695,87:0/88:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.740,90518531,0,ACK,2013 Sep 11  17:40:050.695,87:0/88:0,DATA,
