Client_IP,Server_IP,Timestamp,TCP_Sequence_Number,TCP_Retranmission_Count,TCP_Flag_Info,RLC_Timestamp(first_mapped),RLC_Sequence_Number_and_Retransmission_Count,HTTP_Type,Note
21.150.255.211,208.54.32.9,2013 Sep 13  00:54:480.935,399954077,0,ACK/SYN,2013 Sep 13  00:54:470.765,373:0,DATA,WARNING: Non-unique Mapping
21.150.255.211,208.54.32.9,2013 Sep 13  00:54:550.105,399954077,0,ACK,2013 Sep 13  00:54:540.955,662:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:54:560.075,399954077,0,ACK,2013 Sep 13  00:54:550.925,682:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:54:570.846,399954077,0,ACK,2013 Sep 13  00:54:550.199,664:0/665:0/672:0/673:0/674:0/675:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:54:590.946,399954077,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:000.056,399954105,0,ACK/FIN,2013 Sep 13  00:54:590.946,741:0,DATA,WARNING: Non-unique Mapping
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.045,367159793,0,ACK/SYN,2013 Sep 13  00:55:420.768,0:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.089,124774566,0,ACK/SYN,2013 Sep 13  00:55:430.088,25:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.155,367159793,0,ACK,2013 Sep 13  00:55:420.945,16:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.205,367159793,0,ACK,2013 Sep 13  00:55:430.175,27:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.315,124774566,0,ACK,2013 Sep 13  00:55:430.205,33:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.355,124774566,0,ACK,2013 Sep 13  00:55:430.315,37:0/38:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.438,367159793,0,ACK,2013 Sep 13  00:55:060.356,917:0/918:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.438,367159919,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.438,367159941,0,ACK/FIN,2013 Sep 13  00:55:430.315,37:0/38:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.455,124774566,0,ACK,2013 Sep 13  00:55:430.315,37:0/38:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.566,124774566,0,ACK,2013 Sep 13  00:55:060.356,917:0/918:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.576,124774692,0,ACK,2013 Sep 13  00:55:430.566,50:0/51:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.586,124774818,0,ACK,2013 Sep 13  00:55:430.566,50:0/51:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.596,124774944,0,ACK,2013 Sep 13  00:55:430.566,50:0/51:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.598,124775070,0,ACK,2013 Sep 13  00:55:430.596,60:0/61:0/62:0/63:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.608,124775196,0,ACK/PSH,2013 Sep 13  00:55:430.596,63:0/64:0/65:0/66:0/67:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.608,124775322,0,ACK/PSH,2013 Sep 13  00:55:430.606,66:0/67:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.610,124775412,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.618,124775427,0,ACK,2013 Sep 13  00:55:430.616,69:0/70:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.619,124775553,0,ACK,2013 Sep 13  00:55:430.616,69:0/70:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.626,124775679,0,ACK,2013 Sep 13  00:55:430.616,69:0/70:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:55:430.628,124775805,0,ACK,2013 Sep 13  00:55:430.626,76:0/77:0/78:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:56:170.695,357766575,0,ACK/SYN,2013 Sep 13  00:56:170.635,209:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:56:180.025,357766576,0,ACK,2013 Sep 13  00:56:170.836,211:0/212:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:56:180.226,357766576,0,ACK/PSH,2013 Sep 13  00:54:590.946,740:0/741:0/742:0,DATA,WARNING: Non-unique Mapping
21.150.255.211,208.54.32.9,2013 Sep 13  00:56:210.105,357766604,0,ACK/FIN,2013 Sep 13  00:56:200.666,280:0/281:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:57:070.185,302209812,0,ACK/SYN,2013 Sep 13  00:57:060.916,41:0,DATA,WARNING: Non-unique Mapping
21.150.255.211,208.54.32.9,2013 Sep 13  00:57:070.245,302209812,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:57:070.245,302209812,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:57:070.486,302209812,0,ACK,2013 Sep 13  00:56:370.666,669:0/670:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:57:070.495,302209938,0,ACK/PSH,2013 Sep 13  00:55:350.296,17:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 13  00:57:080.055,321440073,0,ACK/SYN,2013 Sep 13  00:57:070.965,85:0/86:0,DATA,
